row,column,has_key,gate_phase,visit_count
1,1,0,0,905
1,1,0,1,365
1,1,1,0,247
1,1,1,1,231
1,2,0,0,332
1,2,0,1,589
1,2,1,0,363
1,2,1,1,398
1,3,0,0,393
1,3,0,1,287
1,3,1,0,336
1,3,1,1,326
1,4,0,0,225
1,4,0,1,277
1,4,1,0,236
1,4,1,1,247
1,5,0,0,216
1,5,0,1,190
1,5,1,0,228
1,5,1,1,217
1,7,0,0,56
1,7,0,1,61
1,7,1,0,251
1,7,1,1,287
1,8,0,0,80
1,8,0,1,53
1,8,1,0,312
1,8,1,1,287
1,9,0,0,76
1,9,0,1,108
1,9,1,0,406
1,9,1,1,381
1,10,0,0,76
1,10,0,1,70
1,10,1,0,489
1,10,1,1,488
1,11,0,0,48
1,11,0,1,51
1,11,1,0,444
1,11,1,1,456
1,12,0,0,27
1,12,0,1,35
1,12,1,0,333
1,12,1,1,329
1,13,0,0,39
1,13,0,1,39
1,13,1,0,284
1,13,1,1,308
2,1,0,0,357
2,1,0,1,587
2,1,1,0,376
2,1,1,1,374
2,2,0,0,697
2,2,0,1,433
2,2,1,0,562
2,2,1,1,578
2,3,0,0,351
2,3,0,1,480
2,3,1,0,423
2,3,1,1,421
2,5,0,0,223
2,5,0,1,232
2,5,1,0,283
2,5,1,1,272
2,7,0,0,123
2,7,0,1,52
2,7,1,0,310
2,7,1,1,186
2,8,0,0,49
2,8,0,1,113
2,8,1,0,196
2,8,1,1,258
2,9,0,0,217
2,9,0,1,123
2,9,1,0,528
2,9,1,1,526
2,10,0,0,185
2,10,0,1,271
2,10,1,0,804
2,10,1,1,797
2,11,0,0,170
2,11,0,1,130
2,11,1,0,575
2,11,1,1,621
2,12,0,0,40
2,12,0,1,32
2,12,1,0,269
2,12,1,1,269
2,13,0,0,37
2,13,0,1,34
2,13,1,0,272
2,13,1,1,241
3,1,0,0,398
3,1,0,1,259
3,1,1,0,379
3,1,1,1,398
3,2,0,0,392
3,2,0,1,620
3,2,1,0,593
3,2,1,1,559
3,3,0,0,594
3,3,0,1,370
3,3,1,0,525
3,3,1,1,545
3,4,0,0,311
3,4,0,1,425
3,4,1,0,480
3,4,1,1,450
3,5,0,0,403
3,5,0,1,302
3,5,1,0,478
3,5,1,1,486
3,6,0,0,302
3,6,0,1,291
3,6,1,0,476
3,6,1,1,335
3,7,0,1,311
3,7,1,1,488
3,8,0,0,306
3,8,0,1,107
3,8,1,0,578
3,8,1,1,350
3,9,0,0,240
3,9,0,1,467
3,9,1,0,667
3,9,1,1,639
3,10,0,0,515
3,10,0,1,433
3,10,1,0,687
3,10,1,1,712
3,11,0,0,403
3,11,0,1,410
3,11,1,0,584
3,11,1,1,532
3,12,1,0,691
3,12,1,1,704
4,1,0,0,230
4,1,0,1,293
4,1,1,0,405
4,1,1,1,411
4,2,0,0,444
4,2,0,1,339
4,2,1,0,603
4,2,1,1,613
4,3,0,0,334
4,3,0,1,516
4,3,1,0,617
4,3,1,1,596
4,4,0,0,527
4,4,0,1,321
4,4,1,0,604
4,4,1,1,639
4,5,0,0,320
4,5,0,1,507
4,5,1,0,599
4,5,1,1,630
4,6,0,0,559
4,6,0,1,336
4,6,1,0,629
4,6,1,1,653
4,7,0,0,374
4,7,0,1,385
4,7,1,0,736
4,7,1,1,492
4,8,0,0,358
4,8,0,1,360
4,8,1,0,664
4,8,1,1,733
4,9,0,0,420
4,9,0,1,386
4,9,1,0,727
4,9,1,1,792
4,10,0,0,328
4,10,0,1,290
4,10,1,0,608
4,10,1,1,588
4,12,0,0,46
4,12,0,1,56
4,12,1,0,698
4,12,1,1,679
4,13,0,0,24
4,13,0,1,15
4,13,1,0,355
4,13,1,1,348
5,1,0,0,274
5,1,0,1,226
5,1,1,0,430
5,1,1,1,407
5,2,0,0,291
5,2,0,1,383
5,2,1,0,620
5,2,1,1,599
5,3,0,0,402
5,3,0,1,285
5,3,1,0,607
5,3,1,1,602
5,4,0,0,267
5,4,0,1,395
5,4,1,0,641
5,4,1,1,606
5,5,0,0,337
5,5,0,1,258
5,5,1,0,522
5,5,1,1,531
5,6,0,0,227
5,6,0,1,309
5,6,1,0,478
5,6,1,1,479
5,7,0,0,268
5,7,0,1,223
5,7,1,0,674
5,7,1,1,797
5,8,0,0,230
5,8,0,1,264
5,8,1,0,794
5,8,1,1,827
5,9,0,0,233
5,9,0,1,210
5,9,1,0,811
5,9,1,1,782
5,10,0,0,133
5,10,0,1,134
5,10,1,0,746
5,10,1,1,746
5,11,0,0,78
5,11,0,1,80
5,11,1,0,735
5,11,1,1,686
5,12,0,0,67
5,12,0,1,68
5,12,1,0,644
5,12,1,1,716
6,1,0,0,194
6,1,0,1,209
6,1,1,0,274
6,1,1,1,327
6,2,0,0,253
6,2,0,1,225
6,2,1,0,414
6,2,1,1,396
6,3,0,0,222
6,3,0,1,271
6,3,1,0,402
6,3,1,1,415
6,4,0,0,246
6,4,0,1,196
6,4,1,0,426
6,4,1,1,436
6,5,0,0,143
6,5,0,1,165
6,5,1,0,300
6,5,1,1,313
6,6,0,0,104
6,6,0,1,102
6,6,1,0,221
6,6,1,1,211
6,7,0,0,114
6,7,0,1,121
6,7,1,0,652
6,7,1,1,598
6,8,0,0,120
6,8,0,1,112
6,8,1,0,618
6,8,1,1,528
6,9,0,0,97
6,9,0,1,109
6,9,1,0,458
6,9,1,1,510
6,10,0,0,91
6,10,0,1,80
6,10,1,0,547
6,10,1,1,552
6,11,0,0,57
6,11,0,1,60
6,11,1,0,567
6,11,1,1,586
6,12,0,0,58
6,12,0,1,54
6,12,1,0,496
6,12,1,1,485
6,13,0,0,25
6,13,0,1,29
6,13,1,0,261
6,13,1,1,277
7,7,1,0,437
7,7,1,1,478
8,1,1,0,54
8,1,1,1,49
8,2,1,0,63
8,2,1,1,64
8,4,1,0,82
8,4,1,1,92
8,5,1,0,116
8,5,1,1,98
8,6,1,0,155
8,6,1,1,179
8,7,1,0,411
8,7,1,1,373
8,8,1,0,166
8,8,1,1,147
8,9,1,0,100
8,9,1,1,120
8,11,1,0,57
8,11,1,1,63
8,12,1,0,82
8,12,1,1,67
8,13,1,0,44
8,13,1,1,55
9,1,1,0,33
9,1,1,1,34
9,2,1,0,83
9,2,1,1,101
9,3,1,0,128
9,3,1,1,116
9,4,1,0,142
9,4,1,1,136
9,5,1,0,151
9,5,1,1,161
9,6,1,0,188
9,6,1,1,200
9,7,1,0,319
9,7,1,1,344
9,8,1,0,307
9,8,1,1,222
9,9,1,0,222
9,9,1,1,174
9,10,1,0,142
9,10,1,1,220
9,11,1,0,163
9,11,1,1,110
9,12,1,0,78
9,12,1,1,72
10,1,1,0,56
10,1,1,1,75
10,2,1,0,136
10,2,1,1,99
10,3,1,0,131
10,3,1,1,154
10,4,1,0,144
10,4,1,1,140
10,5,1,0,142
10,5,1,1,161
10,6,1,0,227
10,6,1,1,174
10,7,1,0,200
10,7,1,1,266
10,8,1,0,172
10,8,1,1,289
10,9,1,0,159
10,9,1,1,166
10,10,1,0,154
10,10,1,1,139
10,11,1,0,124
10,11,1,1,134
11,1,1,0,117
11,1,1,1,102
11,2,1,0,126
11,2,1,1,150
11,3,1,0,124
11,3,1,1,117
11,4,1,0,106
11,4,1,1,105
11,5,1,0,128
11,5,1,1,132
11,6,1,0,190
11,6,1,1,182
11,7,1,0,250
11,7,1,1,250
11,8,1,0,327
11,8,1,1,222
11,11,1,0,123
11,11,1,1,89
11,12,1,0,36
11,12,1,1,50
11,13,1,0,26
11,13,1,1,25
12,1,1,0,70
12,1,1,1,82
12,2,1,0,138
12,2,1,1,106
12,3,1,0,109
12,3,1,1,101
12,5,1,0,100
12,5,1,1,123
12,6,1,0,152
12,6,1,1,145
12,7,1,0,153
12,7,1,1,186
12,8,1,0,239
12,8,1,1,303
12,10,1,0,54
12,10,1,1,75
12,11,1,0,98
12,11,1,1,160
12,12,1,0,195
12,12,1,1,45
12,13,1,0,41
12,13,1,1,33
13,1,1,0,38
13,1,1,1,37
13,2,1,0,85
13,2,1,1,92
13,3,1,0,95
13,3,1,1,105
13,5,1,0,84
13,5,1,1,65
13,6,1,0,89
13,6,1,1,110
13,7,1,0,125
13,7,1,1,115
13,8,1,0,303
13,8,1,1,251
13,9,1,0,242
13,9,1,1,279
13,10,1,0,275
13,10,1,1,211
13,11,1,0,245
13,11,1,1,327
13,12,1,0,329
13,12,1,1,546
13,13,1,0,386
13,13,1,1,55
