schedule,seed,episodes,evaluation_episodes,alpha,gamma,epsilon_start,epsilon_end,epsilon_decay_episodes,training_seconds,first_100_success_rate,last_100_success_rate,first_100_average_reward,last_100_average_reward,first_100_average_steps,last_100_average_steps,last_100_wall_collisions,last_100_penalty_visits,evaluation_success_rate,evaluation_average_reward,evaluation_average_steps,history_path,model_path,update_example_path
linear,8,600,100,0.1,0.95,1.0,0.05,500,0.8935938011854887,7.000000000000001,100.0,-864.5732000000006,27.216199999999986,416.09,66.5,3.54,0.41,100.0,9.696599999999705,78.67,results\raw_data\q_learning_linear_training.csv,results\models\q_learning_linear.json,results\raw_data\q_learning_linear_update_example.json
exponential,8,600,100,0.1,0.95,1.0,0.05,500,0.8326155003160238,16.0,100.0,-759.7300000000005,23.495399999999986,400.77,68.2,3.65,0.44,100.0,-32.54230000000024,83.65,results\raw_data\q_learning_exponential_training.csv,results\models\q_learning_exponential.json,results\raw_data\q_learning_exponential_update_example.json
