algorithm,reward_mode,number_of_runs,seeds,training_seconds_mean,training_seconds_stdev,first_100_success_rate_mean,first_100_success_rate_stdev,last_100_success_rate_mean,last_100_success_rate_stdev,first_100_average_steps_mean,first_100_average_steps_stdev,last_100_average_steps_mean,last_100_average_steps_stdev,evaluation_success_rate_mean,evaluation_success_rate_stdev,evaluation_average_reward_mean,evaluation_average_reward_stdev,evaluation_average_steps_mean,evaluation_average_steps_stdev
q_learning,sparse,3,"8,18,28",0.8298056659599146,0.01941111649914997,3.6666666666666665,1.1547005383792515,100.0,0.0,420.72333333333336,1.1514049389043375,65.91000000000001,1.6300920219423232,98.66666666666667,1.5275252316519468,42.29666666666666,4.597144040959923,65.45666666666666,2.982638652826272
q_learning,shaped,3,"8,18,28",0.8608979334433874,0.06208323669583062,4.666666666666667,2.081665999466133,100.0,0.0,418.6666666666667,2.7198222981168048,63.72333333333333,3.6870629684524414,100.0,0.0,14.361233333333493,18.819130855683387,77.10000000000001,10.87213410513318
sarsa_lambda_0_3,sparse,3,"8,18,28",1.5569681338965893,0.026844042045931743,2.3333333333333335,0.5773502691896257,100.0,0.0,421.9266666666667,1.0097689504700198,59.77333333333333,1.2953892593862775,100.0,0.0,57.46,3.130191687421075,54.166666666666664,1.8254131952337094
sarsa_lambda_0_3,shaped,3,"8,18,28",1.5190931670367718,0.0006966886318504551,3.6666666666666665,2.516611478423583,100.0,0.0,418.8333333333333,3.313462438799216,55.07,1.8035797736723478,100.0,0.0,53.12266666666662,3.2574317096960272,51.633333333333326,2.4949215084513843
