episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
65,0.6815036097996391,-788.7800000000035,423,0,344,46,12,0,5,5,10,1,0,1,0,1
66,0.6774326128779227,-727.0900000000001,423,0,369,38,9,0,1,3,2,1,0,1,0,1
67,0.6733859342660411,-741.4100000000009,423,0,357,53,4,0,3,2,3,1,0,1,0,1
68,0.6693634286973177,-807.3200000000022,423,0,364,36,18,0,0,2,2,1,0,1,0,1
69,0.665364951772834,-333.21000000000043,222,1,170,42,3,0,4,0,1,1,1,0,1,0
70,0.6613903599562454,-821.2099999999999,423,0,349,60,10,0,1,0,2,1,0,1,0,1
71,0.6574395105686298,-776.2600000000043,423,0,358,44,12,0,1,3,4,1,0,1,0,1
72,0.6535122617833644,-311.84999999999997,224,1,182,27,7,0,5,1,0,1,1,0,1,0
73,0.6496084726210354,-720.2299999999982,423,0,371,40,9,0,0,1,1,1,0,1,0,1
74,0.6457280029443764,-778.2100000000014,423,0,356,55,7,0,3,0,1,1,0,1,0,1
75,0.6418707134532387,-296.01,238,1,201,32,1,0,1,0,1,1,1,0,1,0
76,0.6380364656795896,-752.7599999999983,423,0,368,38,13,0,1,2,0,1,0,1,0,1
77,0.634225121982543,-843.2200000000023,423,0,340,64,10,0,2,2,4,1,0,1,0,1
78,0.6304365455434172,-406.1500000000001,332,1,293,32,1,0,4,0,0,1,1,0,1,0
79,0.6266706003608241,-685.1899999999982,423,0,378,34,6,2,0,0,2,1,0,1,0,1
80,0.622927151245787,-236.36000000000013,194,1,162,19,6,0,1,1,3,1,1,0,1,0
81,0.6192060638168874,-829.4500000000013,423,0,353,45,17,0,1,2,4,1,0,1,0,1
82,0.6155072044954412,-735.3799999999987,423,0,360,41,9,0,2,5,5,1,0,1,0,1
83,0.6118304405007033,-789.2600000000018,423,0,364,38,16,0,0,1,3,1,0,1,0,1
84,0.6081756398451015,-798.9000000000002,423,0,356,49,13,0,0,2,2,1,0,1,0,1
85,0.6045426713294979,-661.3999999999984,423,0,379,35,5,0,0,1,2,1,0,1,0,1
86,0.6009314045384795,-750.5599999999968,423,0,364,47,8,0,0,2,1,1,0,1,0,1
87,0.5973417098356766,-374.9000000000003,293,1,251,33,4,0,3,0,0,1,1,0,1,0
88,0.5937734583591089,-696.7800000000008,423,0,374,35,7,0,1,1,4,1,0,1,0,1
89,0.5902265220165597,-313.95999999999987,261,1,229,27,2,0,1,0,0,1,1,0,1,0
90,0.5867007734809778,-692.6800000000009,423,0,370,39,4,0,1,4,4,1,0,1,0,1
91,0.5831960861859071,-719.6600000000009,423,0,364,50,4,0,0,2,2,1,0,1,0,1
92,0.5797123343209422,-745.4499999999992,423,0,361,46,8,1,0,0,6,1,0,1,0,1
93,0.5762493928272127,-457.78999999999934,358,1,313,36,1,0,2,2,2,1,1,0,1,0
94,0.5728071373928941,-551.9000000000012,420,1,375,32,8,0,2,0,1,1,1,0,1,0
95,0.569385444448745,-401.2699999999998,308,1,267,32,3,0,1,2,1,1,1,0,1,0
96,0.5659841911636708,-241.48000000000002,176,1,135,32,3,0,1,0,3,1,1,0,1,0
97,0.5626032554403151,-582.1900000000009,362,1,304,42,13,0,1,0,0,1,1,0,1,0
98,0.5592425159106764,-743.4400000000011,423,0,366,46,8,0,0,1,1,1,0,1,0,1
99,0.555901851931751,-818.4499999999989,423,0,349,44,16,0,0,4,9,1,0,1,0,1
100,0.5525811435812026,-805.7500000000005,423,0,346,48,13,0,5,5,5,1,0,1,0,1
101,0.5492802716530569,-193.98999999999984,211,1,188,17,0,0,4,0,0,1,1,0,1,0
102,0.5459991176534229,-765.029999999998,423,0,354,54,7,0,0,2,5,1,0,1,0,1
103,0.5427375637962387,-745.4700000000026,423,0,366,39,11,0,3,1,2,1,0,1,0,1
104,0.5394954929990438,-530.9300000000001,348,1,283,59,0,0,2,1,1,1,1,0,1,0
105,0.5362727888787756,-518.8400000000005,363,1,310,41,6,0,2,0,2,1,1,0,1,0
106,0.5330693357475917,-682.8600000000021,423,0,372,36,6,0,2,2,4,1,0,1,0,1
107,0.5298850186087173,-501.1399999999995,382,1,335,40,2,0,3,0,0,1,1,0,1,0
108,0.5267197231523162,-652.5899999999983,423,0,382,29,7,0,0,0,4,1,0,1,0,1
109,0.5235733357513884,-617.0299999999991,423,0,391,29,2,0,0,0,0,1,0,1,0,1
110,0.5204457434576906,-403.6399999999995,342,1,309,30,0,0,1,0,0,1,1,0,1,0
111,0.5173368339976812,-737.9099999999976,423,0,362,48,8,0,0,0,4,1,0,1,0,1
112,0.5142464957684908,-286.45999999999987,267,1,244,17,3,0,1,0,0,1,1,0,1,0
113,0.5111746178339155,-615.3000000000008,423,0,379,29,2,0,1,1,10,1,0,1,0,1
114,0.5081210899204343,-8.899999999999977,92,1,83,6,0,0,1,0,0,1,1,0,1,0
115,0.5050858024132509,-696.8999999999999,423,0,365,46,4,1,0,0,6,1,0,1,0,1
116,0.5020686463523585,-423.65999999999923,336,1,296,31,2,0,1,1,3,1,1,0,1,0
117,0.4990695134286288,-64.47999999999998,124,1,112,8,1,0,1,0,0,1,1,0,1,0
118,0.4960882959799234,-610.6199999999986,382,1,315,47,10,0,1,3,4,1,1,0,1,0
119,0.4931248869872292,-690.4299999999985,423,0,370,46,2,0,1,0,3,1,0,1,0,1
120,0.4901791800708169,-245.30999999999995,200,1,169,24,4,0,1,0,0,1,1,0,1,0
121,0.4872510694864219,-361.5600000000001,269,1,228,35,3,0,1,0,0,1,1,0,1,0
122,0.48434045012144833,-678.5299999999982,423,0,377,35,7,0,0,1,2,1,0,1,0,1
123,0.4814472174911959,-672.0999999999985,423,0,372,43,2,0,1,3,1,1,0,1,0,1
