episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-1276.1100000000038,423,0,111,35,1,0,0,1
2,0.9968333333333333,-1144.090000000003,423,0,127,15,0,1,0,1
3,0.9936666666666667,-887.1100000000022,423,0,90,3,0,1,0,1
4,0.9905,-759.3399999999992,423,0,57,0,0,0,0,1
5,0.9873333333333333,-1212.2300000000023,423,0,86,37,1,0,0,1
6,0.9841666666666666,-1135.2800000000038,423,0,117,16,1,0,0,1
7,0.981,-892.180000000002,423,0,84,5,0,0,0,1
8,0.9778333333333333,-1084.370000000002,423,0,130,7,0,1,0,1
9,0.9746666666666667,-1311.2500000000025,423,0,78,49,7,0,0,1
10,0.9715,-892.2400000000027,423,0,78,3,4,0,0,1
11,0.9683333333333334,-395.59000000000043,286,1,42,1,0,1,1,0
12,0.9651666666666666,-934.8299999999999,423,0,85,0,10,0,0,1
13,0.962,-1233.8399999999986,423,0,94,38,1,0,0,1
14,0.9588333333333333,-1000.4300000000025,423,0,81,20,0,1,0,1
15,0.9556666666666667,-804.8000000000002,423,0,76,0,0,1,0,1
16,0.9525,-1118.7700000000013,423,0,88,26,1,0,0,1
17,0.9493333333333334,-957.1700000000045,423,0,90,10,0,0,0,1
18,0.9461666666666667,-1091.300000000003,423,0,93,23,0,0,0,1
19,0.9430000000000001,-929.6899999999993,423,0,95,1,3,0,0,1
20,0.9398333333333333,-945.9800000000022,423,0,82,10,2,0,0,1
21,0.9366666666666666,-1091.7899999999984,423,0,70,33,0,0,0,1
22,0.9335,-1033.3400000000022,423,0,87,16,4,0,0,1
23,0.9303333333333333,-968.7600000000027,423,0,77,16,0,0,0,1
24,0.9271666666666667,-880.6700000000021,423,0,68,10,0,0,0,1
25,0.924,-903.3599999999984,423,0,86,4,0,0,0,1
26,0.9208333333333334,-1072.1900000000048,423,0,65,31,2,0,0,1
27,0.9176666666666666,-1006.9500000000013,423,0,89,14,1,0,0,1
28,0.9145,-868.5699999999999,423,0,83,4,0,1,0,1
29,0.9113333333333333,-309.5799999999998,201,1,42,2,1,1,1,0
30,0.9081666666666667,-939.3599999999996,423,0,92,7,0,1,0,1
31,0.905,-713.0399999999981,423,0,55,0,2,1,0,1
32,0.9018333333333334,-1246.0300000000009,423,0,83,44,1,0,0,1
33,0.8986666666666667,-940.659999999999,423,0,86,7,1,0,0,1
34,0.8955,-1038.789999999999,423,0,128,0,0,0,0,1
35,0.8923333333333333,-1135.370000000002,423,0,72,39,0,1,0,1
36,0.8891666666666667,-445.5599999999999,272,1,58,2,0,1,1,0
37,0.886,-987.8500000000003,423,0,104,5,0,0,0,1
38,0.8828333333333334,-1351.7500000000016,423,0,66,61,2,0,0,1
39,0.8796666666666667,-985.5100000000019,423,0,54,29,0,0,0,1
40,0.8765000000000001,-165.02000000000004,131,1,33,0,0,1,1,0
41,0.8733333333333333,-541.9300000000003,354,1,50,5,0,1,1,0
42,0.8701666666666666,-1025.890000000003,423,0,86,19,0,0,0,1
43,0.867,-803.3599999999985,423,0,75,0,0,1,0,1
44,0.8638333333333333,-1117.8199999999997,423,0,97,25,0,0,0,1
45,0.8606666666666667,-372.36000000000024,248,1,36,6,0,1,1,0
46,0.8575,-270.10999999999956,234,1,28,0,0,1,1,0
47,0.8543333333333334,-979.5900000000005,423,0,101,5,3,1,0,1
48,0.8511666666666666,-185.56999999999988,160,1,30,0,0,1,1,0
49,0.848,-484.0299999999999,313,1,55,2,0,1,1,0
50,0.8448333333333333,-233.2199999999997,200,1,30,0,0,1,1,0
51,0.8416666666666667,-616.2199999999997,329,1,83,2,0,1,1,0
52,0.8385,-588.3699999999989,344,1,68,3,0,1,1,0
53,0.8353333333333334,-121.24999999999999,138,1,20,0,0,1,1,0
54,0.8321666666666667,-512.9100000000001,304,1,64,3,0,1,1,0
55,0.829,-933.0299999999999,423,0,83,9,0,0,0,1
56,0.8258333333333334,-608.3499999999997,334,1,68,7,0,1,1,0
57,0.8226666666666667,-362.7699999999999,246,1,46,1,0,1,1,0
58,0.8195,-511.65000000000026,339,1,59,0,0,1,1,0
59,0.8163333333333334,-389.63999999999993,240,1,51,2,0,1,1,0
60,0.8131666666666667,-177.09999999999985,149,1,21,4,0,1,1,0
61,0.81,-1129.010000000001,423,0,76,32,2,0,0,1
62,0.8068333333333333,-113.51999999999985,124,1,22,0,0,1,1,0
63,0.8036666666666666,-1042.6999999999998,423,0,70,28,1,0,0,1
64,0.8005,-952.1699999999987,423,0,97,7,0,1,0,1
65,0.7973333333333333,-417.2499999999997,265,1,53,1,0,1,1,0
66,0.7941666666666667,-107.11000000000006,112,1,24,0,0,1,1,0
67,0.791,-325.35999999999996,219,1,41,3,0,1,1,0
68,0.7878333333333334,-8.450000000000003,67,1,13,0,0,1,1,0
69,0.7846666666666666,-242.2700000000001,178,1,33,0,3,1,1,0
70,0.7815,-950.0899999999991,423,0,103,4,0,1,0,1
71,0.7783333333333333,-493.2300000000013,360,1,46,1,0,1,1,0
72,0.7751666666666667,-205.02999999999986,231,1,13,0,0,1,1,0
73,0.772,-1259.9899999999986,423,0,88,42,3,0,0,1
74,0.7688333333333334,-193.24,156,1,32,0,0,1,1,0
75,0.7656666666666667,-279.3400000000002,206,1,40,0,0,1,1,0
76,0.7625,-575.3699999999997,370,1,62,1,0,1,1,0
77,0.7593333333333333,-625.9099999999983,387,1,71,0,0,1,1,0
78,0.7561666666666667,-114.86,103,1,29,0,0,1,1,0
79,0.753,-84.43000000000005,131,1,13,0,0,1,1,0
80,0.7498333333333334,-334.7499999999997,221,1,49,0,0,1,1,0
81,0.7466666666666667,-698.5300000000004,392,1,86,1,0,1,1,0
82,0.7435,-293.90999999999946,196,1,39,2,1,1,1,0
83,0.7403333333333333,-115.78999999999998,154,1,14,0,0,1,1,0
84,0.7371666666666667,-474.9199999999999,274,1,43,9,2,1,1,0
85,0.734,-286.1799999999997,222,1,36,0,0,1,1,0
86,0.7308333333333333,-325.74999999999943,211,1,47,1,0,1,1,0
87,0.7276666666666667,-158.18999999999994,152,1,23,0,1,1,1,0
88,0.7245,-111.17000000000006,142,1,16,0,0,1,1,0
89,0.7213333333333334,-1027.2099999999998,423,0,71,22,6,0,0,1
90,0.7181666666666666,-116.66000000000004,151,1,15,0,0,1,1,0
91,0.7150000000000001,-116.57999999999997,117,1,25,0,0,1,1,0
92,0.7118333333333333,-196.5099999999997,166,1,28,1,0,1,1,0
93,0.7086666666666668,-752.9799999999989,406,1,72,13,0,1,1,0
94,0.7055,-110.78000000000007,139,1,17,0,0,1,1,0
95,0.7023333333333333,-172.76999999999998,176,1,22,0,0,1,1,0
96,0.6991666666666667,-124.80999999999999,122,1,26,0,0,1,1,0
97,0.696,-97.42999999999994,121,1,19,0,0,1,1,0
98,0.6928333333333334,-539.379999999999,328,1,45,9,2,1,1,0
99,0.6896666666666667,-135.86999999999983,154,1,20,0,0,1,1,0
100,0.6865,-218.19999999999982,178,1,28,2,0,1,1,0
101,0.6833333333333333,-375.80999999999995,269,1,43,1,0,1,1,0
102,0.6801666666666667,-397.39,246,1,42,7,0,1,1,0
103,0.677,-90.28000000000004,129,1,15,0,0,1,1,0
104,0.6738333333333333,-171.57999999999993,182,1,20,0,0,1,1,0
105,0.6706666666666667,-827.65,423,0,67,6,1,1,0,1
106,0.6675,-21.110000000000028,85,1,11,0,0,1,1,0
107,0.6643333333333333,-204.30999999999977,163,1,33,0,0,1,1,0
108,0.6611666666666667,-18.60000000000001,69,1,15,0,0,1,1,0
109,0.658,-261.05999999999995,205,1,30,0,3,1,1,0
110,0.6548333333333334,-212.81,193,1,27,0,0,1,1,0
111,0.6516666666666667,-95.81000000000004,115,1,21,0,0,1,1,0
112,0.6485000000000001,-70.79000000000003,104,1,18,0,0,1,1,0
113,0.6453333333333333,-51.550000000000054,108,1,12,0,0,1,1,0
114,0.6421666666666668,-243.6900000000001,202,1,32,0,0,1,1,0
115,0.639,-10.580000000000055,66,1,14,0,0,1,1,0
116,0.6358333333333333,-1023.8300000000002,423,0,60,30,1,0,0,1
117,0.6326666666666667,-4.959999999999965,68,1,12,0,0,1,1,0
118,0.6295,-906.8999999999974,423,0,66,18,0,1,0,1
119,0.6263333333333334,-189.38999999999987,137,1,37,0,0,1,1,0
