episode,epsilon,reward,steps,success,wall_collisions,penalty_visits,closed_door_attempts,key_collected,terminated,truncated
1,1.0,-841.9900000000005,423,0,61,12,0,1,0,1
2,0.9968333333333333,-1038.4999999999975,423,0,73,19,6,0,0,1
3,0.9936666666666667,-1020.5799999999979,423,0,52,24,12,1,0,1
4,0.9905,-954.1100000000021,423,0,58,24,0,1,0,1
5,0.9873333333333333,-829.779999999999,423,0,68,3,0,0,0,1
6,0.9841666666666666,-921.5400000000017,423,0,76,13,0,1,0,1
7,0.981,-960.1899999999996,423,0,70,13,5,0,0,1
8,0.9778333333333333,-939.2899999999992,423,0,62,18,5,1,0,1
9,0.9746666666666667,-981.1100000000012,423,0,74,20,1,1,0,1
10,0.9715,-955.4300000000025,423,0,78,16,0,1,0,1
11,0.9683333333333334,-971.9300000000028,423,0,84,13,2,1,0,1
12,0.9651666666666666,-917.9499999999988,423,0,82,7,0,0,0,1
13,0.962,-901.970000000003,423,0,68,13,0,1,0,1
14,0.9588333333333333,-809.9499999999994,423,0,45,13,0,1,0,1
15,0.9556666666666667,-872.1199999999999,423,0,76,4,1,0,0,1
16,0.9525,-788.7599999999987,423,0,53,11,0,1,0,1
17,0.9493333333333334,-983.2200000000008,423,0,76,22,0,1,0,1
18,0.9461666666666667,-800.2200000000009,423,0,62,4,0,0,0,1
19,0.9430000000000001,-992.3600000000032,423,0,71,23,0,1,0,1
20,0.9398333333333333,-921.9800000000023,423,0,81,11,0,1,0,1
21,0.9366666666666666,-942.6400000000027,423,0,63,20,1,1,0,1
22,0.9335,-958.3399999999988,423,0,79,12,1,0,0,1
23,0.9303333333333333,-838.3500000000032,423,0,55,13,0,1,0,1
24,0.9271666666666667,-975.3800000000027,423,0,67,24,0,1,0,1
25,0.924,-901.9600000000024,423,0,79,9,0,1,0,1
26,0.9208333333333334,-1048.1700000000012,423,0,70,31,0,1,0,1
27,0.9176666666666666,-961.6800000000017,423,0,75,18,0,1,0,1
28,0.9145,-856.0600000000011,423,0,51,13,3,1,0,1
29,0.9113333333333333,-1025.9200000000021,423,0,74,23,3,1,0,1
30,0.9081666666666667,-828.000000000002,423,0,51,13,0,1,0,1
31,0.905,-911.8800000000024,423,0,77,12,0,1,0,1
32,0.9018333333333334,-953.110000000002,423,0,68,21,0,1,0,1
33,0.8986666666666667,-905.4600000000019,423,0,91,5,0,1,0,1
34,0.8955,-857.1599999999997,423,0,57,12,1,1,0,1
35,0.8923333333333333,-784.4300000000007,423,0,47,9,1,1,0,1
36,0.8891666666666667,-996.9900000000019,423,0,68,24,1,1,0,1
37,0.886,-846.5300000000018,423,0,71,4,3,1,0,1
38,0.8828333333333334,-854.1299999999991,423,0,66,11,0,1,0,1
39,0.8796666666666667,-842.5900000000033,423,0,65,9,0,1,0,1
40,0.8765000000000001,-865.7199999999976,423,0,82,7,0,1,0,1
41,0.8733333333333333,-817.7499999999999,423,0,62,5,0,0,0,1
42,0.8701666666666666,-880.4800000000018,423,0,67,13,0,1,0,1
43,0.867,-448.37000000000006,285,1,45,6,0,1,1,0
44,0.8638333333333333,-850.4900000000013,423,0,67,10,0,1,0,1
45,0.8606666666666667,-860.9099999999985,423,0,62,13,0,1,0,1
46,0.8575,-295.74999999999983,217,1,15,11,0,1,1,0
47,0.8543333333333334,-843.2099999999997,423,0,62,9,0,1,0,1
48,0.8511666666666666,-332.05000000000007,240,1,38,2,0,1,1,0
49,0.848,-913.2399999999997,423,0,82,9,0,1,0,1
50,0.8448333333333333,-544.9199999999989,386,1,51,2,0,1,1,0
51,0.8416666666666667,-907.8700000000007,423,0,62,19,0,1,0,1
52,0.8385,-860.4400000000005,412,1,98,10,1,1,1,0
53,0.8353333333333334,-412.2100000000003,282,1,33,5,1,1,1,0
54,0.8321666666666667,-846.309999999997,423,0,50,18,0,1,0,1
55,0.829,-886.3399999999993,423,0,65,15,0,1,0,1
